,Video,Mean,Std,Diff1,Diff2,PCAd1,PCAd2,Label
O11,F10,0.888963856,0.062679806,0.009626803,0.23161085,0.019021796,0.17230632,Posed
O12,F10,0.852090143,0.196187383,0.01511233,0.081635242,0.021550775,0.148688834,Posed
O13,F10,0.853375204,0.159143278,0.00605098,0.049169756,0.015540523,0.137056474,Posed
O14,F10,0.916599278,0.066981765,0.001837264,0.273136488,0.016242084,0.133058544,Posed
O15,F10,0.844486201,0.2055376,0.01105611,0.087580022,0.014668274,0.111018216,Posed
O16,F10,0.901601707,0.05819221,0.002113441,0.021850839,0.016394665,0.135434678,Posed
O17,F10,0.809810557,0.188257977,0.019026268,0.088182414,0.016930125,0.124031672,Posed
O18,F10,0.932473679,0.047723463,0.003296582,0.347783898,0.016869351,0.138671674,Posed
O19,F10,0.899767642,0.071136821,0.00284281,0.171820269,0.016411927,0.135785695,Posed
O20,F10,0.857661832,0.08566988,0.005499035,0.282237354,0.016331632,0.14444988,Posed
