,Video,Mean,Std,Diff1,Diff2,PCAd1,PCAd2,Label
O9,F1,0.798431169,0.345107596,0.023845752,0.181755944,0.064668362,0.137138525,Posed
O10,F1,0.906398773,0.048200583,0.007597868,0.291791531,0.075161033,0.12019551,Posed
O11,F1,0.941071787,0.036155096,0.009005398,0.274644149,0.075535489,0.118303146,Posed
O12,F1,0.969086551,0.019018374,0.00241477,0.324330038,0.074598916,0.116612683,Posed
O13,F1,0.979460841,0.008061681,0.001791914,0.314403449,0.074226287,0.116514313,Posed
O14,F1,0.825149342,0.30625205,0.041687183,0.240390852,0.068167467,0.144066989,Posed
O15,F1,0.856326406,0.220768224,0.012485906,0.09901449,0.012592934,0.09364365,Posed
O16,F1,0.98174224,0.012064487,0.001666468,0.320442125,0.074437267,0.116614659,Posed
O17,F1,0.964287743,0.067407014,0.010752326,0.08437239,0.083779979,0.128933849,Posed
O18,F1,0.936670722,0.021360932,0.003503973,0.32079651,0.075233735,0.1173412,Posed
O19,F1,0.741810062,0.306854785,0.042967079,0.299941284,0.061131246,0.133275943,Posed
O20,F1,0.927436969,0.049421103,0.007376148,0.342294666,0.073459343,0.118593215,Posed
O1,F2,0.903332404,0.05944727,0.002577566,0.252540017,0.029369388,0.107422689,Posed
O2,F2,0.887895613,0.09466231,0.002563427,0.241721788,0.012481366,0.084306972,Posed
O3,F2,0.881783428,0.062893597,0.002526368,0.310962453,0.02761329,0.106636147,Posed
O4,F2,0.899950705,0.035777361,0.001986568,0.244844715,0.029026458,0.106901316,Posed
O5,F2,0.97192967,0.017524038,0.001432683,0.321462577,0.030796497,0.106968064,Posed
O6,F2,0.95356569,0.03324205,0.003842063,0.213532843,0.03178791,0.109415316,Posed
O7,F2,0.894832692,0.166847209,0.024332091,0.127116807,0.048516189,0.196320341,Posed
O8,F2,0.920527913,0.044098622,0.004965095,0.289528277,0.029503204,0.108803608,Posed
O9,F2,0.82996301,0.174566097,0.014837692,0.128366308,0.030587757,0.113430617,Posed
O10,F2,0.952046646,0.026284364,0.003188926,0.308425731,0.030794531,0.109847764,Posed
O11,F2,0.77889074,0.091752345,0.013235822,0.229467521,0.018730013,0.125764707,Posed
O12,F2,0.911743159,0.04813423,0.00243522,0.256100354,0.029520676,0.107361345,Posed
O13,F2,0.830410201,0.21297599,0.018628828,0.110686241,0.026718025,0.137861005,Posed
O14,F2,0.854807868,0.225143677,0.018563669,0.108896094,0.041691553,0.145143084,Posed
O15,F2,0.837199076,0.292212659,0.019757934,0.134627089,0.024908807,0.10974275,Posed
O16,F2,0.81574203,0.283258332,0.026750584,0.17993992,0.027384251,0.127818337,Posed
O17,F2,0.846287634,0.200164992,0.019458159,0.098931715,0.026149923,0.120277171,Posed
O18,F2,0.916716721,0.04442277,0.00393591,0.28789898,0.030490285,0.112064661,Posed
O19,F2,0.798888624,0.259749552,0.018838187,0.146845543,0.039672855,0.135631688,Posed
O20,F2,0.874250145,0.07620547,0.007434993,0.081266483,0.02830637,0.107405234,Posed
O1,F3,0.93545926,0.043071063,0.003844169,0.308934287,0.03067799,0.130032033,Posed
O2,F3,0.882305408,0.073437835,0.004015681,0.23555874,0.030583154,0.132407654,Posed
O3,F3,0.923265929,0.033671855,0.003901799,0.257538252,0.031819191,0.135374717,Posed
O4,F3,0.870735783,0.07061504,0.002853348,0.35040416,0.030597053,0.135617624,Posed
O5,F3,0.937862583,0.032817779,0.002486349,0.290808979,0.031125746,0.135069982,Posed
O6,F3,0.960144519,0.019197811,0.002511137,0.269923763,0.032174616,0.134210504,Posed
O7,F3,0.91484171,0.149423617,0.017526832,0.082703608,0.045524051,0.193494509,Posed
O8,F3,0.82071603,0.238339336,0.022956396,0.144004242,0.043800529,0.208856376,Posed
O9,F3,0.848312953,0.063607833,0.006782845,0.22288494,0.032932058,0.147219912,Posed
O10,F3,0.962947006,0.018018327,0.002639675,0.261922362,0.032718037,0.135109764,Posed
O11,F3,0.798657527,0.109986264,0.020619299,0.283334869,0.034372793,0.192121169,Posed
O12,F3,0.948202486,0.030074148,0.001905739,0.310644912,0.03163824,0.135302048,Posed
O13,F3,0.798215611,0.235087873,0.019265726,0.141634767,0.027702354,0.152026646,Posed
O14,F3,0.809440418,0.265124724,0.020238533,0.158711417,0.027841644,0.192533895,Posed
O15,F3,0.852754765,0.175305867,0.020183927,0.085171908,0.042064387,0.194472659,Posed
O16,F3,0.800472962,0.302625484,0.022848225,0.162366913,0.028779591,0.173159919,Posed
O17,F3,0.925260406,0.047585344,0.003945845,0.206903892,0.031808368,0.136603289,Posed
O18,F3,0.941119342,0.028683487,0.003468709,0.315991044,0.031037161,0.131980485,Posed
O19,F3,0.973003963,0.018371897,0.001901724,0.338551157,0.032512699,0.135605066,Posed
O20,F3,0.920908731,0.048797319,0.004291712,0.312469616,0.030871,0.135210951,Posed
O1,F4,0.874444838,0.182866457,0.016293259,0.090863071,0.034076784,0.144437367,Posed
O2,F4,0.86571535,0.064970097,0.003132457,0.314577961,0.029050458,0.166433913,Posed
O3,F4,0.826882966,0.190974531,0.015245598,0.081121429,0.030296187,0.124289023,Posed
O4,F4,0.864079832,0.083193338,0.002412694,0.229178419,0.027950442,0.16567013,Posed
O5,F4,0.931796243,0.02950566,0.001531794,0.273645533,0.017163416,0.135469579,Posed
O6,F4,0.957545573,0.0205012,0.00228366,0.254733708,0.029708307,0.169205705,Posed
O7,F4,0.930969581,0.088497617,0.00708609,0.038224155,0.033057039,0.180496062,Posed
O8,F4,0.818169479,0.214962753,0.01628862,0.124119676,0.034580749,0.190262118,Posed
O9,F4,0.886910613,0.046212849,0.005796989,0.253589663,0.02990078,0.164743664,Posed
O10,F4,0.948903192,0.031190307,0.002690554,0.368812604,0.029005545,0.163875091,Posed
O11,F4,0.859695321,0.089511326,0.012472602,0.21122774,0.034463276,0.213004557,Posed
O12,F4,0.930329992,0.039969542,0.002422954,0.320079647,0.029398996,0.169821452,Posed
O13,F4,0.870090965,0.061671739,0.002197714,0.318787745,0.028727076,0.165220705,Posed
O14,F4,0.903978661,0.168165659,0.008565806,0.059303143,0.029860763,0.16745818,Posed
O15,F4,0.891487088,0.159889864,0.014478114,0.065336008,0.024472729,0.104117762,Posed
O16,F4,0.896225835,0.141689923,0.008082963,0.056406298,0.02950396,0.166123422,Posed
O17,F4,0.897011348,0.066129274,0.002584446,0.223853364,0.028263252,0.164587562,Posed
O18,F4,0.854933,0.208474427,0.021549333,0.136296062,0.026950994,0.156239004,Posed
O19,F4,0.819384373,0.214345542,0.015264722,0.104461898,0.023449969,0.144213352,Posed
O20,F4,0.872215147,0.07632044,0.00496742,0.319203919,0.028504349,0.170272521,Posed
O1,F5,0.860105748,0.161880437,0.010606162,0.078598067,0.011769108,0.07714631,Posed
O2,F5,0.887895613,0.09466231,0.002563427,0.241721788,0.012481366,0.084306972,Posed
O3,F5,0.898730606,0.089365563,0.002359303,0.253211565,0.012387547,0.080965407,Posed
O4,F5,0.78729916,0.252542386,0.006894955,0.054835533,0.010325333,0.080329939,Posed
O5,F5,0.957293361,0.026607445,0.001527014,0.271119248,0.014068837,0.081156118,Posed
O6,F5,0.95356569,0.03324205,0.003842063,0.213532843,0.03178791,0.109415316,Posed
O7,F5,0.890805329,0.194050502,0.021393505,0.098303089,0.015045534,0.084454122,Posed
O8,F5,0.89668528,0.057921312,0.004506605,0.288793427,0.014118511,0.084015028,Posed
O9,F5,0.883303205,0.064767885,0.003603374,0.203243245,0.013965561,0.084968736,Posed
O10,F5,0.876276319,0.137293524,0.006882102,0.055999032,0.013593336,0.08375808,Posed
O11,F5,0.77889074,0.091752345,0.013235822,0.229467521,0.018730013,0.125764707,Posed
O12,F5,0.891538018,0.073164346,0.002202056,0.290072252,0.012997411,0.08400632,Posed
O13,F5,0.832743768,0.206963835,0.012676391,0.090530522,0.022747118,0.120079241,Posed
O14,F5,0.882986444,0.07252164,0.001762145,0.259542433,0.012639136,0.080888474,Posed
O15,F5,0.856326406,0.220768224,0.012485906,0.09901449,0.012592934,0.09364365,Posed
O16,F5,0.85195723,0.229251031,0.013945562,0.09587543,0.022734622,0.149010989,Posed
O17,F5,0.882610267,0.130759026,0.010249917,0.056212604,0.021230608,0.104650043,Posed
O18,F5,0.923300412,0.046584485,0.002646337,0.297426483,0.014132546,0.083027719,Posed
O19,F5,0.902156448,0.18888045,0.013380469,0.085476273,0.024222794,0.145911891,Posed
O20,F5,0.906337631,0.072709521,0.003564578,0.281273006,0.012559065,0.084636856,Posed
O1,F6,0.941516265,0.040117588,0.002413819,0.222043579,0.017482727,0.134542159,Posed
O2,F6,0.923410044,0.069630559,0.00357644,0.24210974,0.016326994,0.132487736,Posed
O3,F6,0.905355363,0.05734167,0.002308295,0.283888959,0.016928986,0.136860399,Posed
O4,F6,0.76735669,0.265203354,0.016197311,0.131492008,0.015357443,0.115634442,Posed
O5,F6,0.931796243,0.02950566,0.001531794,0.273645533,0.017163416,0.135469579,Posed
O6,F6,0.969374966,0.017266934,0.002659213,0.275211477,0.018415091,0.142431553,Posed
O7,F6,0.890150138,0.158998832,0.020983157,0.121660968,0.022975009,0.142627821,Posed
O8,F6,0.854449438,0.133544962,0.017454469,0.136653067,0.027809912,0.196834448,Posed
O9,F6,0.890167521,0.072848105,0.002532723,0.220855097,0.016894573,0.13752283,Posed
O10,F6,0.948210128,0.031339119,0.001816006,0.29111996,0.016890557,0.134148523,Posed
O11,F6,0.850438705,0.055803291,0.005657563,0.24498579,0.018494817,0.151702096,Posed
O12,F6,0.925915988,0.052086957,0.002500924,0.32187404,0.016771186,0.137493242,Posed
O13,F6,0.966632366,0.014803147,0.001676498,0.234418873,0.017734565,0.138583234,Posed
O14,F6,0.817695363,0.241984446,0.015902862,0.124734471,0.017188336,0.115896711,Posed
O15,F6,0.846494753,0.157434914,0.01262731,0.061187594,0.026696721,0.091421969,Posed
O16,F6,0.827322326,0.269668856,0.014684095,0.103039914,0.013140322,0.099558946,Posed
O17,F6,0.881302525,0.142380408,0.013752157,0.071158279,0.028506093,0.122273209,Posed
O18,F6,0.863214563,0.196799287,0.018679602,0.096158006,0.028159392,0.15339711,Posed
O19,F6,0.907202687,0.076647459,0.002395657,0.244917375,0.016489869,0.136447995,Posed
O20,F6,0.896227102,0.060883066,0.00429271,0.300919422,0.018027515,0.143487715,Posed
O1,F7,0.834535504,0.184397614,0.016443821,0.118197141,0.014900538,0.105364308,Posed
O2,F7,0.91525627,0.064147962,0.003100164,0.270754907,0.015166593,0.108314265,Posed
